citta,URL
ANCONA,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16191_ancona_20260623.pdf
BARI,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16270_bari_20260623.pdf
BOLOGNA,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16140_bologna_20260623.pdf
BOLZANO,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16020_bolzano_20260623.pdf
BRESCIA,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16088_brescia_20260623.pdf
CAGLIARI,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16560_cagliari_20260623.pdf
CAMPOBASSO,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16252_campobasso_20260623.pdf
CATANIA,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16460_catania_20260623.pdf
CIVITAVECCHIA,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16214_civitavecchia_20260623.pdf
FIRENZE,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16170_firenze_20260623.pdf
FROSINONE,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16244_frosinone_20260623.pdf
GENOVA,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16120_genova_20260623.pdf
LATINA,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16243_latina_20260623.pdf
MESSINA,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16420_messina_20260623.pdf
MILANO,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16080_milano_20260623.pdf
NAPOLI,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16289_napoli_20260623.pdf
PALERMO,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16410_palermo_20260623.pdf
PERUGIA,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16182_perugia_20260623.pdf
PESCARA,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16230_pescara_20260623.pdf
REGGIO CALABRIA,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16422_reggiocalabria_20260623.pdf
RIETI,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16221_rieti_20260623.pdf
ROMA,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16239_roma_20260623.pdf
TORINO,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16059_torino_20260623.pdf
TRIESTE,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16110_trieste_20260623.pdf
VENEZIA,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16105_venezia_20260623.pdf
VERONA,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16090_verona_20260623.pdf
VITERBO,https://www.salute.gov.it/new/sites/default/files/bollettini-ondate-di-calore/bol16216_viterbo_20260623.pdf
