citta,data,livello,data_estrazione,name,geonameid,latitude,longitude,admin3code
ANCONA,2023-07-09,Livello1,2023-07-08,Ancona,6542126,43.59816,13.51008,042002
BARI,2023-07-09,Livello0,2023-07-08,Bari,6542001,41.11773,16.85119,072006
BOLOGNA,2023-07-09,Livello1,2023-07-08,Bologna,6541998,44.50657,11.35041,037006
BOLZANO,2023-07-09,Livello2,2023-07-08,Bolzano/Bozen,6535953,46.49272,11.33358,021008
BRESCIA,2023-07-09,Livello1,2023-07-08,Brescia,6542113,45.52478,10.22727,017029
CAGLIARI,2023-07-09,Livello1,2023-07-08,Cagliari,6540125,39.2133,9.13033,092009
CAMPOBASSO,2023-07-09,Livello1,2023-07-08,Campobasso,6542000,41.56003,14.66753,070006
CATANIA,2023-07-09,Livello1,2023-07-08,Catania,6541468,37.50025,15.07339,087015
CIVITAVECCHIA,2023-07-09,Livello1,2023-07-08,Civitavecchia,6536945,42.09312,11.80706,058032
FIRENZE,2023-07-09,Livello2,2023-07-08,Firenze,6542285,43.78645,11.24892,048017
FROSINONE,2023-07-09,Livello2,2023-07-08,Frosinone,6541853,41.64002,13.3401,060038
GENOVA,2023-07-09,Livello1,2023-07-08,Genova,6542282,44.41286,8.95729,010025
LATINA,2023-07-09,Livello1,2023-07-08,Latina,6542115,41.46441,12.89729,059011
MESSINA,2023-07-09,Livello1,2023-07-08,Messina,6541859,38.19327,15.54969,083048
MILANO,2023-07-09,Livello1,2023-07-08,Milano,6542283,45.46416,9.19199,015146
NAPOLI,2023-07-09,Livello1,2023-07-08,Napoli,3172395,40.83333,14.25,063049
PALERMO,2023-07-09,Livello2,2023-07-08,Palermo,6542127,38.11572,13.36143,082053
PERUGIA,2023-07-09,Livello2,2023-07-08,Perugia,6542125,43.09674,12.38286,054039
PESCARA,2023-07-09,Livello1,2023-07-08,Pescara,6540108,42.46024,14.21021,068028
REGGIO CALABRIA,2023-07-09,Livello1,2023-07-08,Reggio di Calabria,6542287,38.11047,15.66129,080063
RIETI,2023-07-09,Livello2,2023-07-08,Rieti,6541462,42.40723,12.85918,057059
ROMA,2023-07-09,Livello2,2023-07-08,Roma,3169071,41.90036,12.49575,058091
TORINO,2023-07-09,Livello2,2023-07-08,Torino,3165525,45.05,7.66667,001272
TRIESTE,2023-07-09,Livello1,2023-07-08,Trieste,3165186,45.66667,13.76667,032006
VENEZIA,2023-07-09,Livello1,2023-07-08,Venezia,6542284,45.4389,12.33092,027042
VERONA,2023-07-09,Livello1,2023-07-08,Verona,6541865,45.43419,10.99779,023091
VITERBO,2023-07-09,Livello2,2023-07-08,Viterbo,6540107,42.41783,12.10856,056059
